Datum	Eröffnung	Hoch	Tief	Schluss	Volumen
02.12.2014	9983.79	10093.03	9219.05	9805.55	1715984339
03.11.2014	9305.73	9992.67	9148.78	9963.51	1936479963
02.10.2014	9363.28	9412.62	8354.97	9326.87	2548213365
02.09.2014	9525.15	9891.2	9357.55	9382.03	1758431781
04.08.2014	9222.05	9600.85	8903.49	9479.03	1589891424
02.07.2014	9913	10032.28	9185.41	9210.08	1798940535
02.06.2014	9986.86	10050.98	9749.75	9902.41	1768503288
02.05.2014	9611.79	9970.77	9407.09	9943.27	1770768409
02.04.2014	9628.76	9721.5	9166.53	9603.23	1530871958
03.03.2014	9553.08	9634.82	8913.27	9603.71	2108564244
03.02.2014	9318.77	9720.66	9071.25	9692.08	1693660086
02.01.2014	9598.25	9794.05	9166.05	9306.48	2128734596
02.12.2013	9412.95	9594.35	8984.28	9552.16	1439765766
04.11.2013	9035.91	9424.62	8962.42	9405.3	1628215944
02.10.2013	8650.71	9070.17	8489.62	9007.83	1912440056
02.09.2013	8224.34	8770.1	8095.91	8689.14	2158810581
02.08.2013	8428.58	8457.05	8094.22	8103.15	1750224547
02.07.2013	7988.92	8415.33	7730.37	8410.73	2091158144
03.06.2013	8291.49	8395.56	7655.83	7983.92	1956093358
02.05.2013	7905.35	8557.86	7896.99	8348.84	1850426585
02.04.2013	7806.12	7965.9	7418.36	7913.71	2505778499
04.03.2013	7654.67	8074.47	7637.32	7795.31	2916417869
04.02.2013	7822.54	7860.57	7537.29	7708.16	2690597378
02.01.2013	7689.46	7871.79	7634.26	7833.39	2825310240
03.12.2012	7427.41	7682.9	7417.3	7612.39	1809514498
02.11.2012	7336.52	7442.6	6950.53	7405.5	2644214798
02.10.2012	7278.13	7447.81	7120.68	7335.67	2585739453
03.09.2012	6946.61	7478.53	6892.86	7326.73	3401487050
02.08.2012	6756.16	7105.43	6596.21	6970.79	2578040981
02.07.2012	6405.39	6835.19	6324.53	6754.46	3104148897
04.06.2012	5976.46	6427.49	5914.43	6416.28	3035282497
02.05.2012	6861.3	6875.87	6008.47	6050.29	3384309090
02.04.2012	6973.99	7081.06	6499.07	6761.19	3064756541
02.03.2012	6944.45	7194.33	6612.61	6946.83	3397815506
02.02.2012	6640.05	6971.03	6606.37	6941.77	3468600999
02.01.2012	5900.18	6630.48	5900.18	6616.64	3850733967
