Zeit	Bauhauptgewerbe_Kapazitätsauslastung	Gewerbliche_Wirtschaft_Gki
 01/1991	55.2	109.9
 02/1991	53	109.7
 03/1991	64.1	108.5
 04/1991	68.3	108.1
 05/1991	69.1	107
 06/1991	70.1	106.4
 07/1991	69.9	105.4
 08/1991	70.4	104.6
 09/1991	71.7	104.6
 10/1991	70.8	105.4
 11/1991	68.5	105
 12/1991	63.3	104.2
 01/1992	55.4	102.7
 02/1992	58.2	101.9
 03/1992	63.1	100.8
 04/1992	67.2	99.9
 05/1992	70.3	99.5
 06/1992	71.6	98.8
 07/1992	70.7	97.5
 08/1992	69.5	94.3
 09/1992	70.8	93.1
 10/1992	69.9	89.9
 11/1992	67.9	88
 12/1992	64.1	89.4
 01/1993	56.4	88.5
 02/1993	54.7	86.8
 03/1993	60.4	88.8
 04/1993	67.4	88
 05/1993	67.5	87.4
 06/1993	69.1	88.7
 07/1993	68.4	89
 08/1993	68.9	91
 09/1993	69.8	90.2
 10/1993	69.5	90.8
 11/1993	64.1	91.7
 12/1993	61.4	92.8
 01/1994	59.3	92.7
 02/1994	55.2	95.7
 03/1994	62.9	97
 04/1994	68	99
 05/1994	69.9	99.6
 06/1994	71.5	101.4
 07/1994	71.2	100.8
 08/1994	71.7	101.6
 09/1994	71.5	103.8
 10/1994	71.5	105.1
 11/1994	69.6	105.4
 12/1994	66.4	104.8
 01/1995	55.9	104.3
 02/1995	58.4	104.9
 03/1995	62.2	102.4
 04/1995	67.3	101.3
 05/1995	68.4	100.8
 06/1995	68.9	99.8
 07/1995	69	98
 08/1995	67.3	97.4
 09/1995	67.4	97.9
 10/1995	66.2	96.8
 11/1995	63.6	96.7
 12/1995	58.2	96
 01/1996	47.5	95
 02/1996	44.6	94.2
 03/1996	49.1	93
 04/1996	61.3	93.8
 05/1996	65.6	92.9
 06/1996	66.3	92.5
 07/1996	66.5	94.9
 08/1996	66.9	95.1
 09/1996	67.4	96.9
 10/1996	65.7	97.6
 11/1996	63.4	97.2
 12/1996	58.3	97.6
 01/1997	45.3	98
 02/1997	49.2	98.6
 03/1997	56.3	98.7
 04/1997	61.6	99.4
 05/1997	64.1	100.1
 06/1997	65.4	99.8
 07/1997	65.3	101.5
 08/1997	65.1	101.6
 09/1997	65.4	103.6
 10/1997	65	104.1
 11/1997	62.3	104.2
 12/1997	57.3	105.2
 01/1998	48.5	103.4
 02/1998	51.1	104.2
 03/1998	55.9	104.7
 04/1998	60.6	104.3
 05/1998	63.9	104
 06/1998	65.2	103.4
 07/1998	66	103.6
 08/1998	66.1	102.4
 09/1998	65.9	100.2
 10/1998	66.1	99.1
 11/1998	61.8	99.4
 12/1998	56	99.2
 01/1999	53	97.9
 02/1999	50.4	96.4
 03/1999	59.6	97.3
 04/1999	65.5	96.9
 05/1999	67.9	97.2
 06/1999	69.1	98.2
 07/1999	69.5	98.9
 08/1999	69	100.2
 09/1999	69.6	101.9
 10/1999	67.6	102.2
 11/1999	65.1	104.5
 12/1999	58.9	104.5
 01/2000	51.3	104.1
 02/2000	52.4	105.6
 03/2000	57.9	105.2
 04/2000	62.9	106.3
 05/2000	64.8	105.6
 06/2000	65.1	104.7
 07/2000	65.3	104.4
 08/2000	65	104.2
 09/2000	66.1	103.9
 10/2000	64.2	104.2
 11/2000	61.8	103.9
 12/2000	58.1	103.5
 01/2001	50	103.1
 02/2001	51.8	101.9
 03/2001	55.3	100.5
 04/2001	60.2	98.4
 05/2001	63.5	96.7
 06/2001	63.6	95.3
 07/2001	64.4	95.5
 08/2001	64	94.9
 09/2001	63.6	91.5
 10/2001	63.3	91
 11/2001	60.7	92.1
 12/2001	55.2	93
 01/2002	53.4	92.3
 02/2002	50.8	93.6
 03/2002	52.4	95.9
 04/2002	56.8	95
 05/2002	59.3	96
 06/2002	61.4	95.4
 07/2002	61.9	94.1
 08/2002	62.6	94.1
 09/2002	62	94.1
 10/2002	61.2	93.9
 11/2002	60.5	91.6
 12/2002	58.1	91.4
 01/2003	52	91.7
 02/2003	46.9	92.7
 03/2003	50.1	92.2
 04/2003	56.9	92.1
 05/2003	62.2	92.6
 06/2003	63.9	93.8
 07/2003	64.4	95
 08/2003	64.8	96.7
 09/2003	64.5	97.7
 10/2003	65.1	99.9
 11/2003	63.8	100.9
 12/2003	61.4	101
 01/2004	54.9	102.1
 02/2004	49.7	100.3
 03/2004	52.1	99
 04/2004	57.8	99.3
 05/2004	61.9	99.2
 06/2004	64.1	99.1
 07/2004	64.3	99.7
 08/2004	64.7	100.1
 09/2004	64.1	100.6
 10/2004	64.1	100.4
 11/2004	63.1	100.5
 12/2004	60	100.7
 01/2005	54.6	100.4
 02/2005	49.1	99.8
 03/2005	47.4	97.8
 04/2005	55.9	97.1
 05/2005	63.3	96.6
 06/2005	64.2	97.6
 07/2005	65.9	99
 08/2005	66.2	99.9
 09/2005	66.3	101.4
 10/2005	66.3	103.5
 11/2005	66	102.8
 12/2005	63	104.2
 01/2006	56.5	105.7
 02/2006	49.7	106.9
 03/2006	49.1	108.5
 04/2006	58.7	108.9
 05/2006	68.5	109.9
 06/2006	71.8	110.1
 07/2006	72.8	109.5
 08/2006	73.6	109.6
 09/2006	73.3	109.5
 10/2006	74	110.6
 11/2006	73.3	112.1
 12/2006	71.6	113.4
 01/2007	64.6	112.8
 02/2007	55.7	111.4
 03/2007	58.8	112.3
 04/2007	64.2	112.6
 05/2007	69	113
 06/2007	70.8	111.2
 07/2007	72	111.4
 08/2007	72.8	110.7
 09/2007	73.7	109.8
 10/2007	72.5	109.7
 11/2007	71.7	109.4
 12/2007	69.4	108
 01/2008	61.5	108.8
 02/2008	57.5	108
 03/2008	60.4	108.5
 04/2008	63.7	106.5
 05/2008	68.2	106.7
