date	averageovernight	average
01.01.2012	0.0030	0.01161
01.02.2012	0.0028	0.00975
01.03.2012	0.0026	0.00765
01.04.2012	0.0026	0.00658
01.05.2012	0.0026	0.00612
01.06.2012	0.0026	0.00571
01.07.2012	0.0011	0.00383
01.08.2012	0.0002	0.00207
01.09.2012	0.0002	0.00159
01.10.2012	0.0001	0.00139
01.11.2012	0.0001	0.00127
01.12.2012	0.0001	0.00124
01.01.2013	0.0001	0.00136
01.02.2013	0.0002	0.00144
01.03.2013	0.0002	0.00129
01.04.2013	0.0002	0.00128
01.05.2013	0.0002	0.00119
01.06.2013	0.0004	0.00131
01.07.2013	0.0004	0.00146
01.08.2013	0.0004	0.00152
01.09.2013	0.0004	0.00156
01.10.2013	0.0005	0.00166
01.11.2013	0.0006	0.00175
01.12.2013	0.0012	0.00246
01.01.2014	0.0013	0.00269
01.02.2014	0.0010	0.00258
01.03.2014	0.0013	0.00274
01.04.2014	0.0019	0.00295
01.05.2014	0.0021	0.00297
01.02.2014	0.0006	0.00214
01.07.2014	0.0001	0.00174
01.08.2014	-0.0001	0.00156
01.09.2014	-0.0003	0.00065
01.10.2014	-0.0005	0.00058
01.11.2014	-0.0006	0.00058
01.12.2014	-0.0009	0.00059
