"Datum"	"Stickoxide"	"CO"	"Feinstaub"	"Lufttemperatur"	"Ozon"	"SO2"
"01.01.91"	71.19	1.31	NA	NA	0	26.61
"01.02.91"	127.97	2.13	NA	NA	0	55.28
"01.03.91"	91.99	1.58	NA	NA	0	26.99
"01.04.91"	61.27	1.1	NA	NA	7	21.29
"01.05.91"	55.27	1.07	NA	NA	6	18.5
"01.06.91"	43.62	0.89	NA	NA	28	11
"01.07.91"	42.25	0.88	NA	NA	51	7.88
"01.08.91"	53.85	0.93	NA	NA	65	7.83
"01.09.91"	68.83	1.2	NA	NA	26	8.51
"01.10.91"	NA	NA	NA	NA	NA	NA
"01.11.91"	95.91	1.48	NA	NA	0	23.42
"01.12.91"	88.42	1.39	NA	NA	0	29.74
"01.01.92"	123.14	1.87	NA	NA	0	38.18
"01.02.92"	99.87	1.66	NA	NA	0	31.42
"01.03.92"	77.11	1.29	NA	NA	0	21.87
"01.04.92"	49.65	0.89	NA	NA	7	14.64
"01.05.92"	55.26	0.92	NA	NA	47	10.79
"01.06.92"	49.65	0.85	NA	18.93	19	8.18
"01.07.92"	41.25	0.76	NA	21.18	73	5.69
"01.08.92"	48.13	0.76	NA	23.17	84	6.56
"01.09.92"	70.82	1.03	NA	16.28	0	9.72
"01.10.92"	NA	NA	NA	NA	NA	NA
"01.11.92"	66.39	1.13	NA	7.49	0	16.63
"01.12.92"	117.54	1.76	NA	1.84	0	28.42
"01.01.93"	97.58	1.53	NA	4.31	0	28.42
"01.02.93"	89.92	1.48	NA	0.97	0	26.69
"01.03.93"	80.64	1.34	NA	5.75	3	29.03
"01.04.93"	52.26	0.92	NA	12.03	11	13.62
"01.05.93"	42.33	0.83	NA	16.1	24	7.85
"01.06.93"	37	0.78	NA	18.47	54	5.55
"01.07.93"	37.21	0.8	NA	18.35	46	5.54
"01.08.93"	45.2	0.8	NA	19.22	73	7.13
"01.09.93"	58.36	0.94	NA	14.41	0	10.38
"01.10.93"	NA	NA	NA	NA	NA	NA
"01.11.93"	86.66	1.38	NA	2.41	0	19.68
"01.12.93"	56.54	0.91	NA	5.02	0	15.04
"01.01.94"	62.08	1.05	NA	3.71	0	18.8
"01.02.94"	89.51	1.41	NA	3.35	0	25.23
"01.03.94"	50.44	0.86	NA	10.26	0	12.1
"01.04.94"	45.95	0.84	NA	8.64	21	12.1
"01.05.94"	43.97	0.81	NA	14.57	3	7
"01.06.94"	37.46	0.72	NA	18.55	74	7
"01.07.94"	35.55	0.59	NA	23.37	176	4.86
"01.08.94"	40.36	0.66	NA	20.9	65	5.32
"01.09.94"	55.01	0.85	NA	15.15	0	8.22
"01.10.94"	NA	NA	NA	NA	NA	NA
"01.11.94"	78.36	1.21	NA	9.15	0	13.51
"01.12.94"	62.02	1.07	NA	5	0	15.51
"01.01.95"	68.3	1.09	NA	1.29	0	21.81
"01.02.95"	51.32	0.89	NA	6.46	0	13.21
"01.03.95"	40.52	0.79	NA	5.16	0	13.55
"01.04.95"	40.76	0.69	NA	10.33	8	9.94
"01.05.95"	38.81	0.61	NA	14.57	50	7.42
"01.06.95"	35.44	0.57	NA	16.03	18	6.67
"01.07.95"	34.08	0.56	NA	22.53	110	5.07
"01.08.95"	35.77	0.66	NA	19.31	50	6
"01.09.95"	52.95	0.82	NA	13.48	0	9.86
"01.10.95"	NA	NA	NA	NA	NA	NA
"01.11.95"	91	1.32	NA	4.92	0	18.63
"01.12.95"	72.06	1.19	NA	1.25	0	20.74
"01.01.96"	81.55	1.43	NA	0.82	0	20.72
"01.02.96"	66.46	1.17	NA	0.55	0	22.41
"01.03.96"	52.1	1.01	NA	4.39	0	18.8
"01.04.96"	46.48	0.89	NA	10.84	26	11.63
"01.05.96"	37.14	0.71	NA	13.75	14	6.39
"01.06.96"	31.47	0.6	NA	18.89	92	4.43
"01.07.96"	30.99	0.54	NA	18.65	44	4.25
"01.08.96"	33.22	0.59	NA	18.16	21	4.07
"01.09.96"	49.35	0.77	NA	12.08	0	7.89
"01.10.96"	70.53	1.02	NA	10.34	0	11.83
"01.11.96"	55.98	0.89	NA	5.66	0	11.36
"01.12.96"	88.78	1.33	NA	0.28	0	17.84
"01.01.97"	89.5	1.54	NA	-0.94	0	22.48
"01.02.97"	63.99	0.98	NA	5.23	0	15.32
"01.03.97"	56.46	0.89	NA	8.61	7	12.41
