"nm" "nmqm" "wfl" "rooms" "bj" "bez" "wohngut" "wohnbest" "ww0" "zh0" "badkach0" "badextra" "kueche"
608.4 12.67 48 2 1957.5 "Untergiesing" 0 0 0 0 1 0 0
780 13 60 2 1983 "Bogenhausen" 1 0 0 0 1 0 1
822.6 7.48 110 5 1957.5 "Obergiesing" 0 0 0 1 1 1 0
500 8.62 58 2 1957.5 "Schwanthalerhöhe" 0 0 0 0 1 0 1
595 8.5 70 3 1972 "Aubing..." 0 0 0 0 0 0 0
960 11.85 81 3 2006.5 "Schwanthalerhöhe" 0 0 0 0 1 0 0
1120 11.55 97 3 2000.5 "Hadern" 1 0 0 0 1 1 1
685 13.7 50 2 1972 "Maxvorstadt" 1 0 0 0 0 0 1
767.5 10.81 71 3 1983 "Untergiesing" 0 0 0 0 1 0 0
565.68 7.44 76 3 1957.5 "Untergiesing" 0 0 0 1 1 1 0
963.88 11.9 81 3 1972 "Untergiesing" 0 0 0 0 1 0 0
1100 12.09 91 4 2000.5 "Schwanthalerhöhe" 0 0 0 0 1 1 0
342.8 11.43 30 1 1957.5 "Ludwigvorstadt-Isarvorstadt" 1 0 0 0 0 0 0
675 9.64 70 3 2000.5 "Trudering-Riem" 0 0 0 0 1 0 1
942.8 8.81 107 5 1957.5 "Bogenhausen" 0 0 0 0 1 0 0
800 8.6 93 3 1983 "Pasing-Obermenzing" 0 0 0 0 1 0 1
628.83 6.76 93 4 1972 "Fledmoching-Hasenbergel" 0 0 0 0 1 0 1
1430 17.02 84 4 1918 "Au-Haidhausen" 1 0 0 0 1 0 1
675 13.24 51 2 2000.5 "Schwanthalerhöhe" 1 0 0 0 1 0 1
325 7.22 45 2 1939 "Schwanthalerhöhe" 0 0 0 0 0 0 0
693.36 10.83 64 3 1957.5 "Sendling" 0 0 0 0 1 0 0
803.05 5.95 135 5 2010 "Schwanthalerhöhe" 0 0 0 0 1 1 0
580 13.49 43 2 1939 "Ludwigvorstadt-Isarvorstadt" 0 0 0 0 1 0 1
