Datum	Eröffnung	Hoch	Tief	Schluss	Volumen
02.12.2014	165.4	168.5	154.2	165.75	12686317
03.11.2014	155.85	165.75	152.35	164.8	12833644
02.10.2014	155	156.95	141.1	156.85	18418049
02.09.2014	153.25	157.8	151.05	155.25	14109230
04.08.2014	156.3	156.45	144.15	152.55	13368521
02.07.2014	162.55	165.15	154.65	155.2	12056584
02.06.2014	163.05	163.15	158.9	162.55	11704937
02.05.2014	159.9	163.35	153.55	162.6	12046598
02.04.2014	159.35	170.4	157.65	166.45	16500419
03.03.2014	155.7	159.95	147.1	158.9	17466119
03.02.2014	153.7	159.05	150.1	158.65	14200155
02.01.2014	160.8	161.1	150.1	153.15	20466485
02.12.2013	161.8	162.7	153.95	160.15	13347135
04.11.2013	155.05	161.6	149.35	161	12804498
02.10.2013	145.1	155.25	141.45	154.3	12643858
02.09.2013	139.85	147.85	133.2	145.35	15436303
02.08.2013	151.25	152.65	137.7	137.9	11947897
02.07.2013	141.7	151.3	135.4	150.95	12231341
03.06.2013	143.3	145.55	135.7	142.8	15613887
02.05.2013	151.6	154.55	141.6	144.65	14479421
02.04.2013	146.2	158.65	146.05	151.85	18391693
04.03.2013	136.25	152	136.25	145.9	14149239
04.02.2013	136.15	139.75	132.3	137.2	14293657
02.01.2013	138	139.25	130.85	136.15	13441736
03.12.2012	131.5	137.95	131.05	136	10373643
02.11.2012	124.2	133	123.35	131.25	13873470
02.10.2012	122.9	128.35	121.3	124.3	14647272
03.09.2012	117.05	125.85	116.9	123.75	15976988
02.08.2012	116.45	120.5	111.75	117.7	14067465
02.07.2012	110.2	117.1	107.35	116.5	18277568
04.06.2012	96.49	111.15	95.85	111.15	18574964
02.05.2012	110.6	110.95	96.48	97.78	20356377
02.04.2012	114.05	117.65	107.55	109.65	19577870
02.03.2012	109.55	118.35	104.9	113.05	18677320
02.02.2012	102	112	101.15	109.85	16186614
02.01.2012	94.06	102	91.39	101.55	21519441
