Monat	BBK01.WU0017
1973-01	8.6
1973-02	8.6
1973-03	8.7
1973-04	8.9
1973-05	9.4
1973-06	10.2
1973-07	10.3
1973-08	10.1
1973-09	9.8
1973-10	9.9
1973-11	9.6
1973-12	9.7
1974-01	9.7
1974-02	10
1974-03	10.7
1974-04	10.8
1974-05	10.8
1974-06	10.9
1974-07	10.9
1974-08	10.9
1974-09	10.8
1974-10	10.9
1974-11	10.6
1974-12	9.9
1975-01	9.4
1975-02	9
1975-03	8.9
1975-04	8.8
1975-05	8.5
1975-06	8.4
1975-07	8.4
1975-08	8.6
1975-09	8.7
1975-10	8.7
1975-11	8.7
1975-12	8.6
1976-01	8.4
1976-02	8.2
1976-03	7.8
1976-04	7.8
1976-05	8
1976-06	8.3
1976-07	8.4
1976-08	8.3
1976-09	8.1
1976-10	8
1976-11	7.6
1976-12	7.4
1977-01	7.2
1977-02	7.1
1977-03	7
1977-04	6.6
1977-05	6.4
1977-06	6.4
1977-07	6.3
1977-08	6.1
1977-09	6
1977-10	6
1977-11	6
1977-12	6
1978-01	5.8
1978-02	5.7
1978-03	5.6
1978-04	5.6
1978-05	5.8
1978-06	6
1978-07	6.3
1978-08	6.6
1978-09	6.4
1978-10	6.3
1978-11	6.6
1978-12	6.6
1979-01	6.7
1979-02	7
1979-03	7.1
1979-04	7.2
1979-05	7.6
1979-06	8
1979-07	7.9
1979-08	7.7
1979-09	7.8
1979-10	7.9
1979-11	8.3
1979-12	8
1980-01	8.1
1980-02	8.5
1980-03	9.5
1980-04	9.6
1980-05	8.8
1980-06	8.3
1980-07	8
1980-08	7.9
1980-09	8.3
1980-10	8.5
1980-11	9
1980-12	9.1
1981-01	9.2
1981-02	9.9
1981-03	10.4
1981-04	10.4
1981-05	11
1981-06	11.1
1981-07	11.2
1981-08	11.5
1981-09	11.3
1981-10	10.6
1981-11	10.2
1981-12	9.9
1982-01	10
1982-02	9.9
1982-03	9.6
1982-04	9.1
1982-05	8.9
1982-06	9.2
1982-07	9.5
1982-08	9.2
1982-09	8.8
1982-10	8.4
1982-11	8.2
1982-12	8
1983-01	7.7
1983-02	7.7
1983-03	7.4
1983-04	7.4
1983-05	7.7
1983-06	8.1
1983-07	8.2
1983-08	8.3
1983-09	8.4
1983-10	8.2
1983-11	8.2
1983-12	8.3
1984-01	8.2
1984-02	8.1
1984-03	7.9
1984-04	7.9
1984-05	8
1984-06	8.1
1984-07	8.1
1984-08	7.9
1984-09	7.7
1984-10	7.4
1984-11	7.2
1984-12	7
1985-01	7.1
1985-02	7.5
1985-03	7.7
1985-04	7.3
1985-05	7.1
1985-06	7
1985-07	6.8
1985-08	6.5
1985-09	6.4
1985-10	6.6
1985-11	6.7
1985-12	6.6
1986-01	6.4
1986-02	6.3
1986-03	6
1986-04	5.6
1986-05	5.9
1986-06	6
1986-07	6
1986-08	5.8
1986-09	5.8
1986-10	6
1986-11	6.1
1986-12	6
1987-01	5.9
1987-02	5.7
1987-03	5.6
1987-04	5.5
1987-05	5.4
1987-06	5.5
1987-07	5.8
1987-08	6
1987-09	6.2
1987-10	6.5
1987-11	6
1987-12	5.8
1988-01	5.9
1988-02	5.7
1988-03	5.6
1988-04	5.7
1988-05	6
1988-06	6
1988-07	6.3
1988-08	6.5
1988-09	6.3
1988-10	6.2
1988-11	6
1988-12	6.2
1989-01	6.5
1989-02	6.9
1989-03	7
1989-04	7
1989-05	7.1
1989-06	7.1
1989-07	6.9
1989-08	6.9
1989-09	7.1
1989-10	7.4
1989-11	7.8
1989-12	7.8
1990-01	8
1990-02	8.7
1990-03	9
1990-04	8.9
1990-05	9
1990-06	9
1990-07	8.8
1990-08	9
1990-09	9.1
1990-10	9.2
1990-11	9.1
1990-12	9
1991-01	9.1
1991-02	8.7
1991-03	8.6
1991-04	8.6
1991-05	8.6
1991-06	8.6
1991-07	8.9
1991-08	8.9
1991-09	8.8
1991-10	8.7
1991-11	8.7
1991-12	8.7
1992-01	8.3
1992-02	8.2
1992-03	8.2
1992-04	8.3
1992-05	8.4
1992-06	8.4
1992-07	8.5
1992-08	8.6
1992-09	8.2
1992-10	7.6
1992-11	7.4
1992-12	7.4
1993-01	7.1
1993-02	6.9
1993-03	6.5
1993-04	6.6
1993-05	6.7
1993-06	6.7
1993-07	6.5
1993-08	6.3
1993-09	6.1
1993-10	5.9
1993-11	5.7
1993-12	5.6
1994-01	5.5
1994-02	5.8
1994-03	6.2
1994-04	6.3
1994-05	6.5
1994-06	6.9
1994-07	6.8
1994-08	7
1994-09	7.4
1994-10	7.5
1994-11	7.4
1994-12	7.4
1995-01	7.5
1995-02	7.3
1995-03	7.1
1995-04	6.8
1995-05	6.6
1995-06	6.4
1995-07	6.5
1995-08	6.4
1995-09	6.1
1995-10	6.1
1995-11	5.8
1995-12	5.5
1996-01	5.3
1996-02	5.7
1996-03	5.8
1996-04	5.7
1996-05	5.7
1996-06	5.9
1996-07	5.9
1996-08	5.7
1996-09	5.5
1996-10	5.3
1996-11	5.2
1996-12	5.1
1997-01	5.1
1997-02	4.9
1997-03	5.1
1997-04	5.1
1997-05	5
1997-06	5
1997-07	4.9
1997-08	5.1
1997-09	5.1
1997-10	5.3
1997-11	5.3
1997-12	5.1
1998-01	4.9
1998-02	4.7
1998-03	4.7
1998-04	4.8
1998-05	4.8
1998-06	4.7
1998-07	4.6
1998-08	4.4
1998-09	4.1
1998-10	4
1998-11	4.1
1998-12	3.8
1999-01	3.6
1999-02	3.7
1999-03	3.8
1999-04	3.6
1999-05	3.7
1999-06	4.1
1999-07	4.4
1999-08	4.7
1999-09	4.9
1999-10	5.2
1999-11	5
1999-12	5.1
2000-01	5.4
2000-02	5.4
2000-03	5.3
2000-04	5.3
2000-05	5.5
2000-06	5.4
2000-07	5.5
2000-08	5.5
2000-09	5.6
2000-10	5.5
2000-11	5.4
2000-12	5.1
2001-01	4.9
2001-02	4.9
2001-03	4.8
2001-04	4.9
2001-05	5.1
2001-06	5
2001-07	5
2001-08	4.8
2001-09	4.7
2001-10	4.5
2001-11	4.3
2001-12	4.6
2002-01	4.8
2002-02	4.8
2002-03	5.1
2002-04	5.1
2002-05	5.1
2002-06	4.9
2002-07	4.8
2002-08	4.5
2002-09	4.2
2002-10	4.3
2002-11	4.2
2002-12	4.1
2003-01	3.9
2003-02	3.6
2003-03	3.7
2003-04	3.8
2003-05	3.5
2003-06	3.3
2003-07	3.6
2003-08	3.8
2003-09	3.8
2003-10	3.9
2003-11	4
2003-12	4
2004-01	3.8
2004-02	3.7
2004-03	3.5
2004-04	3.7
2004-05	3.9
2004-06	4
2004-07	3.9
2004-08	3.7
2004-09	3.7
2004-10	3.6
2004-11	3.4
2004-12	3.3
2005-01	3.3
2005-02	3.3
2005-03	3.4
2005-04	3.2
2005-05	3.1
2005-06	2.9
2005-07	2.9
2005-08	3
2005-09	2.9
2005-10	3.1
2005-11	3.3
2005-12	3.3
2006-01	3.3
2006-02	3.4
2006-03	3.6
2006-04	3.8
2006-05	3.9
2006-06	3.9
2006-07	4
2006-08	3.9
2006-09	3.8
2006-10	3.8
2006-11	3.8
2006-12	3.9
2007-01	4.1
2007-02	4.1
2007-03	4
2007-04	4.2
2007-05	4.4
2007-06	4.6
2007-07	4.6
2007-08	4.4
2007-09	4.3
2007-10	4.4
2007-11	4.2
2007-12	4.3
2008-01	4.1
2008-02	4
2008-03	3.9
2008-04	4.2
2008-05	4.4
2008-06	4.8
2008-07	4.8
2008-08	4.5
2008-09	4.4
2008-10	4.2
2008-11	3.7
2008-12	3.3
2009-01	3.3
2009-02	3.2
2009-03	3.2
2009-04	3.3
2009-05	3.3
2009-06	3.5
2009-07	3.3
2009-08	3.2
2009-09	3.1
2009-10	3.1
2009-11	3.1
2009-12	3
2010-01	3
2010-02	2.9
2010-03	2.8
2010-04	2.8
2010-05	2.5
2010-06	2.3
2010-07	2.4
2010-08	2.2
2010-09	2.1
2010-10	2.2
2010-11	2.4
2010-12	2.6
2011-01	2.8
2011-02	3
2011-03	3.1
2011-04	3.2
2011-05	3
2011-06	2.8
2011-07	2.7
2011-08	2.3
2011-09	1.9
2011-10	2
2011-11	1.9
2011-12	1.9
2012-01	1.7
2012-02	1.7
2012-03	1.7
2012-04	1.6
2012-05	1.4
2012-06	1.3
2012-07	1.2
2012-08	1.2
2012-09	1.3
2012-10	1.3
2012-11	1.1
2012-12	1.1
2013-01	1.3
2013-02	1.3
2013-03	1.2
2013-04	1.1
2013-05	1.1
2013-06	1.3
2013-07	1.4
2013-08	1.5
2013-09	1.6
2013-10	1.5
2013-11	1.4
2013-12	1.5
2014-01	1.5
2014-02	1.3
2014-03	1.3
2014-04	1.3
2014-05	1.2
2014-06	1.1
2014-07	1
2014-08	0.9
2014-09	0.8
2014-10	0.7
2014-11	0.7
2014-12	0.6
2015-01	0.4
2015-02	0.3
2015-03	0.3
2015-04	0.2
2015-05	0.5
